Spec.No.,S.W.No.,Mass_Single,Fam_Genus,species,Date,County,Location,Grid ref,Sex,Length Imp.,Length Met.,Condition,in Collections,year,sequ,lett,Entered,Updated,Count,MCS,BMNH,Rect.CoNAord.,Latitude,Longitude,Other refs,age,Old County,GRef Source,By Catch,Rep.Source,SMRU animal,SMRU No,RLaw,IoZ London,JBaker,VSimpson,CBRU,RJReid,NMS No,Irish,Other,Comb_other_ref,Year_val,Month_val,Day_val,Aggregated_Date,Name Common,Name Current Sci ,Beak Len (m),Beak-Blowhole(m),Snout-mid BF (m),Tail-mid BF (m),BF base Len (m),BF max Height(m),Tail span (m),Tail Depth (m),Tail Curve (m),Keel/T.Stock (m),Flipper Len (m),Flipper Wid (m),Body Girth (m),Gen Slit Len (m),Gen Slit-anus(m),Teeth Top Jaw,Teeth Low Jaw,Teeth Diam mm,Baleen Plate clr,Baleen Fring clr,Country Code,C.of Death,Parasites,Comment
2932,1971/11,S,Balaenoptera,acutorostrata,31-Jul-71,Lancashire,"Bispham, Blackpool",SD30003500,M,17'3'',5.26m*,alive,blade baleen,1971,11,NA,02-Nov-90,23-Dec-08,447,ZK0132,ZK0132,33000043500,53.80636379,-3.063088623,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,7,31,19710731,Minke whale,Balaenoptera acutorostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Lesser Rorqual
2933,1971/12,S,Balaenoptera,acutorostrata,10-Aug-71,"Caithness, Scotland",Wick,ND37005000,NA,14'11'',4.55m*,decayed,blade baleen,1971,12,NA,02-Nov-90,23-Dec-08,448,ZK0132,ZK0132,33700095000,58.43411008,-3.079046141,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,8,10,19710810,Minke whale,Balaenoptera acutorostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Lesser Rorqual
2934,1971/13,S,Globicephala,melaena,30-Aug-71,"Fifeshire, Scotland","Sauchope Caravan Site, E. of Crail",NO61010700,M,19'2'',5.84m*,alive,NA,1971,13,NA,02-Nov-90,23-Dec-08,1254,ZK0079,ZK0079,36101070700,56.2539865,-2.629361349,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,8,30,19710830,LongNAfinned Pilot whale,Globicephala melas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Long-finned Pilot Whale
2935,1971/14,S,Phocoena,phocoena,28-Aug-71,Devon,"Putsborough Sands, Wollacombe, Ilfracombe",SS51004700,NA,5'6'',1.68m*,decayed,NA,1971,14,NA,02-Nov-90,23-Dec-08,2417,ZK0085,ZK0085,25100014700,51.20223679,-4.133021498,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,8,28,19710828,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Common Porpoise
2936,1971/15,M,Phocoena,phocoena,10-Sep-71,"Aberdeenshire, Scotland",Collieston,NK03012800,NA,NA,NA,decayed,NA,1971,15,NA,02-Nov-90,23-Dec-08,2418,ZK0085,ZK0085,40301082800,57.34271159,-1.949985477,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,9,10,19710910,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Common Porpoise
2937,1971/15,M,Phocoena,phocoena,10-Sep-71,"Aberdeenshire, Scotland",Collieston,NK03002800,NA,NA,NA,decayed,NA,1971,15,NA,02-Nov-90,23-Dec-08,3911,ZK0085,ZK0085,40300082800,57.34271165,-1.950151638,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,9,10,19710910,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Common Porpoise
2938,1971/16,S,Balaenoptera,acutorostrata,20-Sep-71,Yorkshire,Saltwick Bay,NZ92001100,F,14'6'',4.42m*,NA,NA,1971,16,NA,02-Nov-90,23-Dec-08,449,ZK0132,ZK0132,49200051100,54.48585664,-0.57970948,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,9,20,19710920,Minke whale,Balaenoptera acutorostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Lesser Rorqual
2939,1971/17,S,Globicephala,melaena,17-Sep-71,"Inverness-shire, Scotland","Loch Caroy, Feorlig, Isle of Skye",NG29004100,NA,21'0'',6.4m*,NA,NA,1971,17,NA,02-Nov-90,23-Dec-08,1255,ZK0079,ZK0079,12900084100,57.37875256,-6.509335243,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,9,17,19710917,LongNAfinned Pilot whale,Globicephala melas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Long-finned Pilot Whale
2940,1971/19,S,Phocoena,phocoena,28-Oct-71,Essex,Walton-on-the-Naze,TM25012101,M,3'5'',1.04m*,dead,lower jaw,1971,19,NA,02-Nov-90,23-Dec-08,2419,ZK0085,ZK0085,62501022101,51.84183223,1.26684756,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,10,28,19711028,Harbour porpoise,Phocoena phocoena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Common Porpoise
2941,1971/20,S,Hyperoodon,ampullatus,31-Oct-71,Lincolnshire,"North Coates, N.W. of Saltfleet",TF45009300,F,16'6'',5.03m*,Dead,NA,1971,20,NA,02-Nov-90,23-Dec-08,308,ZK0125,ZK0125,54500039300,53.41359249,0.18188636,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,10,31,19711031,BottleNAnosed whale,Hyperoodon ampullatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Bottle-nosed Whale
2942,1971/21,S,Grampus,griseus,4-5 Nov 1971,"Inverness-shire, Scotland","Carnach, North Uist, Outer Hebrides",NF78777528,F,8'11.5'',2.73m*,dead,'part lower jaw+',1971,21,NA,02-Nov-90,23-Dec-08,1053,ZK0074,ZK0074,7877087528,57.65273373,-7.38642832,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,11,4,1971114-5,Risso's dolphin,Grampus griseus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,Risso's Dolphin
2943,1971/22,S,Globicephala,melaena,30-Dec-71,Cornwall,"St Mary's, Isles of Scilly",SV91041097,M,6',1.83m*,NA,NA,1971,22,NA,02-Nov-90,23-Dec-08,1256,ZK0079,ZK0079,9104001097,49.91829312,-6.304858333,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,12,30,19711230,LongNAfinned Pilot whale,Globicephala melas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,Long-finned Pilot Whale
2944,1972/1,S,Lagenorhynchus,albirostris,08-Jan-72,Cornwall,Isles of Scilly,SV91011101,M,9'6'',2.9m*,NA,NA,1972,1,NA,02-Nov-90,23-Dec-08,172,ZK0059,ZK0059,9101001101,49.9186364,-6.305307095,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,8,19720108,WhiteNAbeaked dolphin,Lagenorhynchus albirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,White-beaked Dolphin
