#,Event Date,Year ,Species,Name.Current.Sci,Location,County/Region,GPS Lat,GPS Long,GridRef,Record ID,Stranding ID,Observer,Live Stranding
2998,23/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Omey Island,Co. Galway,53.5344,-10.1726,,1407,1990_033,Berrow & Stark INJ 23(8) -  334., NO
2999,23/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Omey Island,Co. Galway,53.5344,-10.1726,,1408,1990_034,Berrow & Stark INJ 23(8) -  334., NO
3000,22/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Aughrusbeg,Co. Galway,53.5428,-10.2032,,1399,1990_028,Stark -  Fairley & MacLoughlin INJ 23(8) -  333-334., NO
3001,22/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Galway,West Coast,53.5428,-10.2032,,1400,1990_029,Stark -  Fairley & MacLoughlin INJ 23(8) -  333-334., NO
3002,22/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Omey Island,Co. Galway,53.5257,-10.1571,,1401,1990_030,Stark -  Fairley & MacLoughlin INJ 23(8) -  333-334., NO
3003,21/03/1990,1990,pilot whale,Globicephala melas,Mweenish Island Carna,Co. Galway,53.297,-9.8605,,1850,1990_026,Cashburn -  Fairley & MacLoughlin INJ 23(8) -  332., NO
3004,21/03/1990,1990,cetacean species,cetacean species,Mweenish Island Carna,Co. Galway,53.297,-9.8605,,2154,1990_027,Cashburn -  Fairley & MacLoughlin INJ 23(8) -  332., NO
3005,21/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Mweenish Island Carna,Co. Galway,53.2968,-9.8755,,1397,1990_024,Cashburn -  OÕShea & Fairley INJ 23(8) -  333., NO
3006,21/03/1990,1990,Atlantic white-sided dolphin,Lagenorhynchus acutus,Mweenish Island Carna,Co. Galway,53.297,-9.8605,,1398,1990_025,Cashburn -  OÕShea & Fairley INJ 23(8) -  333., NO
3007,18/03/1990,1990,harbour porpoise,Phocoena phocoena,Tramore,Co. Waterford,52.1491,-7.1242,,1203,1990_021,Smiddy INJ 23(8) -  329-330., NO
