,S.W.No.,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
1683,1944/10,Grampus griseus,Risso's dolphin,57.1334,-2.0581,"Aberdeenshire, Scotland",1944,21/05/1944
1684,1944/12,Hyperoodon ampullatus,Bottlenose whale,55.0026,-5.0871,"Wigtownshire, Scotland",1944,28/05/1944
1685,1944/11,Globicephala melas,Long-finned pilot whale,56.4972,-2.7059,"Angus, Scotland",1944,29/05/1944
1686,1944/13,Lagenorhynchus albirostris,White-beaked dolphin,56.3474,-2.8,"Fifeshire, Scotland",1944,22/06/1944
1687,1944/14,Phocoena phocoena,Harbour porpoise,56.1841,-2.8137,"Fifeshire, Scotland",1944,15/07/1944
1688,1944/16,Phocoena phocoena,Harbour porpoise,57.2745,-2.0177,"Aberdeenshire, Scotland",1944,12/08/1944
1689,1944/15,Tursiops truncatus,Bottlenose dolphin,51.37875371,-3.402529419,"Glamorgan, Wales",1944,15/08/1944
1690,1944/18,Tursiops truncatus,Bottlenose dolphin,57.03774985,-1.758076697,"Aberdeenshire, Scotland",1944,15/08/1944
1691,1944/17,Phocoena phocoena,Harbour porpoise,53.1887,-4.4637,"Anglesey, Gwynedd, Wales",1944,23/08/1944
1692,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1693,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1694,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1695,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1696,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1697,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1698,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1699,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1700,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1701,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1702,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1703,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1704,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1705,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1706,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1707,1944/19,Globicephala melas,Long-finned pilot whale,53.3001,-3.8545,"Caernarvonshire, Wales",1944,31/08/1944
1708,1944/20,Delphinus delphis,Common dolphin,51.1568,-4.2191,Devon,1944,04/10/1944
1709,1944/21,Phocoena phocoena,Harbour porpoise,52.0246,-4.8455,"Pembrokeshire, Wales",1944,23/11/1944
1710,1944/21A,Orcinus orca,Killer whale,55.14126784,-8.100897108,Co. Donegal,1944,11/12/1944
1712,1944/22,Balaenoptera physalus,Fin whale,54.5737,-0.899,Yorkshire,1944,17/12/1944
1713,1944/23,Orcinus orca,Killer whale,55.28333,-1.5333,Northumberland,1944,25/12/1944
1714,1944/003,Orcinus orca,killer whale,52.68,-9.65,Co. Clare,1944,31/12/1944
1715,1945/1,Tursiops truncatus,Bottlenose dolphin,52.82874103,1.524913739,Norfolk,1945,18/01/1945
1716,1945/2,Tursiops truncatus,Bottlenose dolphin,52.72009842,1.692578285,Norfolk,1945,23/01/1945
1717,1945/3,Phocoena phocoena,Harbour porpoise,50.7687,0.2955,Sussex,1945,24/01/1945
1718,1945/4,Grampus griseus,Risso's dolphin,50.0565,-5.2806,Cornwall,1945,27/02/1945
1719,1945/6,Tursiops truncatus,Bottlenose dolphin,51.47473684,-3.693495054,"Glamorgan, Wales",1945,27/03/1945
1720,1945/7,Phocoena phocoena,Harbour porpoise,50.7701,0.2963,Sussex,1945,03/04/1945
1721,1945/8,Phocoena phocoena,Harbour porpoise,57.2709,-2.0204,"Aberdeenshire, Scotland",1945,10/04/1945
1722,1945/9,Tursiops truncatus,Bottlenose dolphin,50.34495863,-4.698854237,Cornwall,1945,16/04/1945
1723,1945/9A,Globicephala melas,Long-finned pilot whale,54.2176,-8.5154,Co. Sligo,1945,04/05/1945
1725,1945/9B,Tursiops truncatus,Bottlenose dolphin,54.2289,-9.9891,Co. Mayo,1945,14/05/1945
1726,1945/9B,Tursiops truncatus,Bottlenose dolphin,54.2289,-9.9891,Co. Mayo,1945,14/05/1945
1727,1945/9B,Tursiops truncatus,Bottlenose dolphin,54.2289,-9.9891,Co. Mayo,1945,14/05/1945
1728,1945/9B,Tursiops truncatus,Bottlenose dolphin,54.2289,-9.9891,Co. Mayo,1945,14/05/1945
1729,1945/9B,Tursiops truncatus,Bottlenose dolphin,54.2289,-9.9891,Co. Mayo,1945,14/05/1945
1730,1945/9C,Tursiops truncatus,Bottlenose dolphin,NA,NA,Co. Mayo,1945,05/06/1945
1731,1945/9C,Tursiops truncatus,Bottlenose dolphin,NA,NA,Co. Mayo,1945,05/06/1945
1732,1945/10,Tursiops truncatus,Bottlenose dolphin,50.84741833,-4.557253195,Cornwall,1945,15/06/1945
1733,1945/002,Phocoena phocoena,harbour porpoise,53.3,-6.18,Co. Dublin,1945,19/06/1945
1734,1945/11,Phocoena phocoena,Harbour porpoise,51.773283,-4.389989,"Carmarthenshire, Wales",1945,23/06/1945
1735,1945/13,Phocoena phocoena,Harbour porpoise,50.7474,0.2696,Sussex,1945,22/07/1945
1736,1945/14,Tursiops truncatus,Bottlenose dolphin,55.10235322,-5.008341339,"Ayrshire, Scotland",1945,26/07/1945
1737,1945/15,Unknown,Unknown,50.2626,-5.2954,Cornwall,1945,28/07/1945
1738,1945/17,Unknown,Unknown,50.1001,-5.4188,Cornwall,1945,28/08/1945
1739,1945/18,Balaenoptera acutorostrata,Minke whale,53.7005,0.0805,Yorkshire,1945,02/09/1945
1740,1945/19,Delphinus delphis,Common dolphin,50.2124,-5.4764,Cornwall,1945,06/09/1945
1741,1945/19A,Phocoena phocoena,Harbour porpoise,51.3458,-2.9845,Somerset,1945,22/09/1945
1742,1945/21,Phocoena phocoena,Harbour porpoise,52.7135,1.7025,Norfolk,1945,04/10/1945
1743,1945/20,Orcinus orca,Killer whale,57.33037715,-7.364497081,"Western Isles, Scotland",1945,15/10/1945
1744,1946/1,Unknown,Unknown,56.1877,-2.8216,"Fifeshire, Scotland",1946,08/03/1946
1745,1946/2,Phocoena phocoena,Harbour porpoise,50.1011,-5.3845,Cornwall,1946,20/03/1946
1746,1946/3,Hyperoodon ampullatus,Bottlenose whale,60.6889,-0.8331,"Shetland Islands, Scotland",1946,21/03/1946
1747,1946/4,Delphinus delphis,Common dolphin,49.9639,-5.1971,Cornwall,1946,27/03/1946
1748,1946/6,Tursiops truncatus,Bottlenose dolphin,50.78000993,-0.964441671,Hampshire,1946,12/05/1946
1749,1946/7,Grampus griseus,Risso's dolphin,50.7226,-0.792,Sussex,1946,06/06/1946
1750,1946/8,Grampus griseus,Risso's dolphin,50.7226,-0.792,Sussex,1946,13/06/1946
1751,1946/9,Lagenorhynchus acutus,White-sided dolphin,58.9869,-2.9564,"Orkney Islands, Scotland",1946,18/06/1946
1752,1946/10,Grampus griseus,Risso's dolphin,58.7883,-2.9213,"Orkney Islands, Scotland",1946,06/07/1946
1753,1946/14,Unknown,Unknown,50.8854,0.6859,Sussex,1946,14/07/1946
1754,1946/11,Phocoena phocoena,Harbour porpoise,53.142,0.3522,Lincolnshire,1946,15/07/1946
1755,1946/11,Phocoena phocoena,Harbour porpoise,53.142,0.3522,Lincolnshire,1946,15/07/1946
1756,1946/12,Lagenorhynchus albirostris,White-beaked dolphin,55.2241,-4.865,"Ayrshire, Scotland",1946,23/07/1946
1757,1946/13,Unknown,Unknown,50.9306,0.7751,Sussex,1946,26/07/1946
1758,1946/15,Phocoena phocoena,Harbour porpoise,57.2723,-2.0156,"Aberdeenshire, Scotland",1946,05/09/1946
1759,1946/17,Phocoena phocoena,Harbour porpoise,53.2455,-3.0932,"Kirkcudbrightshire, Scotland",1946,13/10/1946
1760,1946/18,Hyperoodon ampullatus,Bottlenose whale,54.1125,-3.1235,Lancashire,1946,18/10/1946
1761,1946/16,Phocoena phocoena,Harbour porpoise,50.93800843,0.977942925,Kent,1946,19/10/1946
1762,1946/20,Unknown mysticete,Unknown mysticete,52.9666,1.0489,Norfolk,1946,24/10/1946
1763,1946/21,Phocoena phocoena,Harbour porpoise,50.886,0.6865,Sussex,1946,28/10/1946
1764,1946/22,Balaenoptera acutorostrata,Minke whale,57.2755,-2.0182,"Aberdeenshire, Scotland",1946,20/11/1946
1765,1946/23,Tursiops truncatus,Bottlenose dolphin,50.91242824,0.982712175,Kent,1946,29/12/1946
1766,1947/1A,Balaenoptera acutorostrata,Minke whale,52.1756,-6.585,Co. Wexford,1947,03/01/1947
