"","X","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"15621",18234,"SW2013/253","Lagenorhynchus albirostris","White-beaked dolphin",57.81138889,-8.5688889,"Western Isles",2013,"05/05/2013"
"15622",18235,"SW2013/254","Phocoena phocoena","Harbour porpoise",57.58833333,-3.8961111,"Highland",2013,"06/05/2013"
"15623",18236,"SW2013/246","Phocoena phocoena","Harbour porpoise",53.32861111,-3.5008333,"Denbighshire",2013,"06/05/2013"
"15624",18237,"SW2013/252","Lagenorhynchus albirostris","White-beaked dolphin",56.49027778,-6.8666667,"Argyll and Bute",2013,"06/05/2013"
"15625",18238,"SW2013/271","Phocoena phocoena","Harbour porpoise",53.74416667,-3.0469444,"Blackpool",2013,"06/05/2013"
"15626",18239,"SW2013/636","Phocoena phocoena","Harbour porpoise",51.800428,1.194763,"Essex",2013,"06/05/2013"
"15627",18240,"SW2013/247","Phocoena phocoena","Harbour porpoise",51.55972222,-2.81,"Monmouthshire",2013,"07/05/2013"
"15628",18241,"SW2013/245","Delphinus delphis","Short-beaked common dolphin",50.095,-5.5366667,"Cornwall",2013,"07/05/2013"
"15629",18242,"SW2013/251","Phocoena phocoena","Harbour porpoise",50.71416667,-1.7458333,"Dorset",2013,"07/05/2013"
"15630",18243,"SW2013/260","Phocoena phocoena","Harbour porpoise",51.6475,-4.8552778,"Pembrokeshire",2013,"08/05/2013"
"15631",18244,"SW2013/250","Phocoena phocoena","Harbour porpoise",53.09666667,0.3380556,"Lincolnshire",2013,"08/05/2013"
"15632",18245,"SW2013/264","Phocoena phocoena","Harbour porpoise",55.99944444,-3.3619444,"City of Edinburgh",2013,"08/05/2013"
"15633",18246,"L2013/009","Delphinus delphis","common dolphin",54.12,-10.21,"Co. Mayo",2013,"08/05/2013"
"15634",18247,"SW2013/265","Phocoena phocoena","Harbour porpoise",57.38305556,-6.1255556,"Highland",2013,"09/05/2013"
"15635",18248,"SW2013/276","Delphinus delphis","Short-beaked common dolphin",50.09972222,-5.3805556,"Cornwall",2013,"09/05/2013"
"15636",18249,"SW2013/261","Mesoplodon bidens","Sowerby's beaked whale",52.43333333,-4.0805556,"Ceredigion",2013,"09/05/2013"
"15637",18250,"2013/086","Phocoena phocoena","harbour porpoise",51.76,-10.12,"Co. Kerry",2013,"09/05/2013"
"15638",18251,"SW2013/262","Phocoena phocoena","Harbour porpoise",50.79583333,-1.0258333,"Hampshire",2013,"10/05/2013"
"15639",18252,"SW2013/266","Phocoena phocoena","Harbour porpoise",51.77861111,1.1391667,"Essex",2013,"10/05/2013"
"15640",18253,"SW2013/267","Delphinus delphis","Short-beaked common dolphin",51.85111111,-5.1225,"Pembrokeshire",2013,"10/05/2013"
"15641",18254,"SW2013/284","Phocoena phocoena","Harbour porpoise",57.68388889,-2.7472222,"Aberdeenshire",2013,"11/05/2013"
"15642",18255,"SW2013/285","Phocoena phocoena","Harbour porpoise",56.51555556,-2.6655556,"Angus",2013,"12/05/2013"
"15643",18256,"SW2013/286","Stenella coeruleoalba","Striped dolphin",60.17944444,-1.0888889,"Shetland",2013,"12/05/2013"
"15644",18257,"SW2013/268","Phocoena phocoena","Harbour porpoise",53.58305556,-3.0927778,"Merseyside",2013,"12/05/2013"
"15645",18258,"SW2013/269","Phocoena phocoena","Harbour porpoise",52.90388889,0.4666667,"Norfolk",2013,"12/05/2013"
"15646",18260,"2013/077","Mesoplodon mirus","True's beaked whale",55.32,-7.34,"Co. Donegal",2013,"12/05/2013"
"15647",18261,"2013/079","Delphinus delphis","common dolphin",54.11,-10.08,"Co. Mayo",2013,"12/05/2013"
"15648",18262,"SW2013/287","Phocoena phocoena","Harbour porpoise",55.55055556,-4.6591667,"South Ayreshire",2013,"13/05/2013"
"15649",18263,"SW2013/272","Phocoena phocoena","Harbour porpoise",51.95861111,1.2319444,"Suffolk",2013,"13/05/2013"
"15650",18264,"SW2013/273","Phocoena phocoena","Harbour porpoise",53.28694444,-4.6513889,"Anglesey",2013,"13/05/2013"
"15651",18265,"2013/078","Globicephala melas","pilot whale",51.97,-10.27,"Co. Kerry",2013,"13/05/2013"
"15652",18266,"SW2013/213","Phocoena phocoena","Harbour porpoise",56.63861111,-2.5044444,"Angus",2013,"14/05/2013"
"15653",18267,"2013/080","Mesoplodon mirus","True's beaked whale",55.28,-7.29,"Co. Donegal",2013,"14/05/2013"
"15654",18268,"SW2013/274","Delphinus delphis","Short-beaked common dolphin",52.1925,-4.4072222,"Ceredigion",2013,"15/05/2013"
"15655",18269,"2013/082","Globicephala melas","pilot whale",53.25,-9.12,"Co. Galway",2013,"16/05/2013"
"15656",18270,"SW2013/294","Phocoena phocoena","Harbour porpoise",55.96638889,-4.6780556,"Argyll and Bute",2013,"17/05/2013"
"15657",18271,"SW2013/338","Phocoena phocoena","Harbour porpoise",58.12805556,-6.3722222,"Western Isles",2013,"17/05/2013"
"15658",18274,"SW2013/292","Phocoena phocoena","Harbour porpoise",53.23527778,-4.1433333,"Gwynedd",2013,"18/05/2013"
"15659",18275,"2013/085","Globicephala melas","pilot whale",52.18,-10.38,"Co. Kerry",2013,"18/05/2013"
"15660",18277,"SW2013/349","Phocoena phocoena","Harbour porpoise",50.53388889,-6.1341667,"At sea",2013,"19/05/2013"
"15661",18278,"SW2013/277","Phocoena phocoena","Harbour porpoise",52.22222222,-4.3577778,"Ceredigion",2013,"19/05/2013"
"15662",18279,"SW2013/278","Phocoena phocoena","Harbour porpoise",51.45472222,0.3380556,"Essex",2013,"19/05/2013"
"15663",18280,"SW2013/279","Phocoena phocoena","Harbour porpoise",50.98333333,0.9697222,"Kent",2013,"19/05/2013"
"15664",18281,"SW2013/280","Phocoena phocoena","Harbour porpoise",52.85083333,-4.1183333,"Gwynedd",2013,"19/05/2013"
"15665",18282,"2013/083","Delphinus delphis","common dolphin",52.68,-9.65,"Co. Clare",2013,"19/05/2013"
"15666",18283,"SW2013/281","Megaptera novaeangliae","Humpback whale",53.63138889,-0.0983333,"East Riding of Yorkshire",2013,"20/05/2013"
"15667",18284,"SW2013/282","Delphinus delphis","Short-beaked common dolphin",52.27666667,-4.1933333,"Ceredigion",2013,"20/05/2013"
"15668",18285,"2013/084","Delphinus delphis","common dolphin",53.71,-6.24,"Co. Meath",2013,"20/05/2013"
"15669",18286,"SW2013/288","Phocoena phocoena","Harbour porpoise",57.72555556,-3.3541667,"Moray",2013,"21/05/2013"
"15670",18287,"SW2013/299","Delphinus delphis","Short-beaked common dolphin",50.84833333,-4.5561111,"Cornwall",2013,"21/05/2013"
"15671",18288,"2013/090","Phocoena phocoena","harbour porpoise",52.25,-10.16,"Co. Kerry",2013,"21/05/2013"
"15672",18289,"SW2013/291","Phocoena phocoena","Harbour porpoise",57.7025,-3.4841667,"Moray",2013,"22/05/2013"
"15673",18290,"SW2013/293","Balaenoptera acutorostrata","Minke whale",57.86527778,-5.5208333,"Highland",2013,"23/05/2013"
"15674",18291,"SW2013/283","Phocoena phocoena","Harbour porpoise",52.41722222,-4.0872222,"Ceredigion",2013,"23/05/2013"
"15675",18292,"SW2013/289","Phocoena phocoena","Harbour porpoise",57.58833333,-3.8911111,"Highland",2013,"23/05/2013"
"15676",18293,"SW2013/290","Phocoena phocoena","Harbour porpoise",51.481328,-0.223975,"Greater London",2013,"24/05/2013"
"15677",18294,"SW2013/300","Phocoena phocoena","Harbour porpoise",57.16138889,-2.0786111,"City of Aberdeen",2013,"24/05/2013"
"15678",18295,"SW2013/295","Phocoena phocoena","Harbour porpoise",51.47722222,-0.1761111,"Greater London",2013,"24/05/2013"
"15679",18296,"SW2013/296","Phocoena phocoena","Harbour porpoise",52.9375,-4.5572222,"Gwynedd",2013,"24/05/2013"
"15680",18297,"SW2013/308","Globicephala melas","Long-finned pilot whale",57.15416667,-7.3530556,"Western Isles",2013,"24/05/2013"
"15681",18298,"SW2013/305","Phocoena phocoena","Harbour porpoise",57.63833333,-1.8886111,"Aberdeenshire",2013,"25/05/2013"
"15682",18299,"SW2013/297","Phocoena phocoena","Harbour porpoise",53.32388889,-3.2844444,"Flintshire",2013,"25/05/2013"
"15683",18300,"SW2013/298","Phocoena phocoena","Harbour porpoise",52.13638889,-4.5488889,"Ceredigion",2013,"25/05/2013"
"15684",18301,"SW2013/301","Phocoena phocoena","Harbour porpoise",55.51888889,-4.6316667,"South Ayreshire",2013,"25/05/2013"
"15685",18302,"SW2013/391","Delphinus delphis","Short-beaked common dolphin",49.94555556,-6.3566667,"Cornwall",2013,"25/05/2013"
"15686",18304,"SW2013/302","Phocoena phocoena","Harbour porpoise",57.13555556,-2.0569444,"City of Aberdeen",2013,"26/05/2013"
"15687",18305,"SW2013/303","Phocoena phocoena","Harbour porpoise",57.72083333,-3.3019444,"Moray",2013,"26/05/2013"
"15688",18306,"SW2013/304","Phocoena phocoena","Harbour porpoise",57.72138889,-3.3136111,"Moray",2013,"26/05/2013"
"15689",18308,"2013/088","Mesoplodon mirus","True's beaked whale",53.41,-10.13,"Co. Galway",2013,"27/05/2013"
"15690",18309,"SW2013/307","Grampus griseus","Risso's dolphin",57.30083333,-7.3925,"Western Isles",2013,"28/05/2013"
"15691",18310,"SW2013/633","Phocoena phocoena","Harbour porpoise",54.54611111,-5.6930556,"Co. Down",2013,"28/05/2013"
"15692",18311,"2013/089","Balaenoptera acutorostrata","minke whale",53.97,-10.13,"Co. Mayo",2013,"29/05/2013"
"15693",18312,"SW2013/388","Phocoena phocoena","Harbour porpoise",51.39305556,1.4147222,"Kent",2013,"31/05/2013"
"15694",18313,"SW2013/325","Phocoena phocoena","Harbour porpoise",53.35555556,-3.3452778,"Flintshire",2013,"01/06/2013"
"15695",18314,"SW2013/311","Phocoena phocoena","Harbour porpoise",54.90638889,-5.0252778,"Dumfries and Galloway",2013,"01/06/2013"
"15696",18315,"L2013/005","Delphinus delphis","common dolphin",52.08,-7.6,"Co. Waterford",2013,"01/06/2013"
"15697",18316,"2013/091","Delphinus delphis","common dolphin",51.76,-10.14,"Co. Kerry",2013,"01/06/2013"
"15698",18317,"2013/092","Delphinus delphis","common dolphin",52.04,-7.57,"Co. Waterford",2013,"01/06/2013"
"15699",18318,"SW2013/312","Physeter macrocephalus","Sperm whale",55.67916667,-6.2702778,"Argyll and Bute",2013,"02/06/2013"
"15700",18319,"SW2013/309","Phocoena phocoena","Harbour porpoise",51.37888889,0.9463889,"Kent",2013,"02/06/2013"
"15701",18321,"2013/097","Phocoena phocoena","harbour porpoise",54.48,-8.28,"",2013,"02/06/2013"
"15702",18322,"SW2013/316","Phocoena phocoena","Harbour porpoise",56.71861111,-2.4469444,"Angus",2013,"03/06/2013"
"15703",18323,"SW2013/324","Phocoena phocoena","Harbour porpoise",53.345,-3.3991667,"Denbighshire",2013,"03/06/2013"
"15704",18324,"2013/093","Globicephala melas","pilot whale",53.15,-9.84,"Co. Galway",2013,"03/06/2013"
"15705",18325,"SW2013/314","Phocoena phocoena","Harbour porpoise",57.56777778,-4.1658333,"Highland",2013,"04/06/2013"
"15706",18326,"SW2013/315","Phocoena phocoena","Harbour porpoise",57.69888889,-2.9066667,"Moray",2013,"04/06/2013"
"15707",18327,"L2013/006","Phocoena phocoena","harbour porpoise",53.42,-6.12,"Co. Dublin",2013,"04/06/2013"
"15708",18328,"2013/094","Stenella coeruleoalba","striped dolphin",53.49,-10.06,"Co. Galway",2013,"05/06/2013"
"15709",18329,"SW2013/318","Phocoena phocoena","Harbour porpoise",57.71305556,-3.2647222,"Moray",2013,"06/06/2013"
"15710",18331,"SW2013/319","Phocoena phocoena","Harbour porpoise",57.66888889,-3.9805556,"Highland",2013,"07/06/2013"
"15711",18332,"SW2013/320","Phocoena phocoena","Harbour porpoise",57.69666667,-2.8447222,"Moray",2013,"07/06/2013"
"15712",18333,"SW2013/321","Phocoena phocoena","Harbour porpoise",51.36611111,1.0305556,"Kent",2013,"07/06/2013"
"15713",18334,"SW2013/322","Phocoena phocoena","Harbour porpoise",50.811436,0.353622,"East Sussex",2013,"09/06/2013"
"15714",18335,"SW2013/326","Phocoena phocoena","Harbour porpoise",51.73305556,-4.6508333,"Pembrokeshire",2013,"09/06/2013"
"15715",18336,"SW2013/392","Delphinus delphis","Short-beaked common dolphin",50.26222222,-4.7841667,"Cornwall",2013,"09/06/2013"
"15716",18338,"SW2013/340","Phocoena phocoena","Harbour porpoise",57.04,-5.7111111,"Highland",2013,"10/06/2013"
"15717",18339,"2013/100","Globicephala melas","pilot whale",53.39,-10.03,"Co. Galway",2013,"12/06/2013"
"15718",18340,"SW2013/336","Mesoplodon bidens","Sowerby's beaked whale",58.48444444,-5.1141667,"Highland",2013,"13/06/2013"
"15719",18341,"SW2013/327","Phocoena phocoena","Harbour porpoise",53.28694444,-4.6513889,"Anglesey",2013,"13/06/2013"
"15720",18342,"SW2013/328","Phocoena phocoena","Harbour porpoise",51.60222222,-3.8316667,"Neath Port Talbot",2013,"13/06/2013"
"15721",18343,"SW2013/335","Phocoena phocoena","Harbour porpoise",51.30361111,-3.0119444,"Somerset",2013,"13/06/2013"
"15722",18344,"SW2013/467","Delphinus delphis","Short-beaked common dolphin",56.35805556,-6.1791667,"Argyll and Bute",2013,"13/06/2013"
"15723",18345,"SW2013/393","Delphinus delphis","Short-beaked common dolphin",50.30138889,-4.7613889,"Cornwall",2013,"14/06/2013"
"15724",18346,"SW2013/329","Phocoena phocoena","Harbour porpoise",52.57694444,-4.0961111,"Gwynedd",2013,"14/06/2013"
"15725",18347,"SW2013/330","Phocoena phocoena","Harbour porpoise",51.71361111,-5.1447222,"Pembrokeshire",2013,"14/06/2013"
"15726",18348,"SW2013/337","Phocoena phocoena","Harbour porpoise",57.57527778,-4.0458333,"Highland",2013,"14/06/2013"
"15727",18349,"SW2013/331","Balaenoptera acutorostrata","Minke whale",52.94083333,0.4830556,"Norfolk",2013,"15/06/2013"
"15728",18350,"SW2013/332","Tursiops truncatus","Bottlenose dolphin",52.90944444,-4.1508333,"Gwynedd",2013,"15/06/2013"
"15729",18351,"SW2013/334","Phocoena phocoena","Harbour porpoise",52.85277778,-4.3991667,"Gwynedd",2013,"15/06/2013"
"15730",18352,"2013/099","Globicephala melas","pilot whale",52.17,-10.44,"Co. Kerry",2013,"15/06/2013"
"15731",18354,"SW2013/333","Phocoena phocoena","Harbour porpoise",51.56416667,-4.0566667,"Swansea",2013,"16/06/2013"
"15732",18355,"SW2013/341","Phocoena phocoena","Harbour porpoise",55.58361111,-4.6672222,"South Ayreshire",2013,"17/06/2013"
"15733",18356,"SW2013/345","Phocoena phocoena","Harbour porpoise",55.95444444,-4.8380556,"Inverclyde",2013,"18/06/2013"
"15734",18357,"2013/104","Phocoena phocoena","harbour porpoise",52.18,-6.35,"Co. Wexford",2013,"18/06/2013"
"15735",18358,"SW2013/342","Phocoena phocoena","Harbour porpoise",57.5825,-4.0608333,"Highland",2013,"19/06/2013"
"15736",18359,"SW2013/355","Phocoena phocoena","Harbour porpoise",51.60222222,-3.8344444,"Neath Port Talbot",2013,"19/06/2013"
"15737",18360,"L2013/007","Globicephala melas","pilot whale",53.65,-6.22,"Co. Meath",2013,"20/06/2013"
"15738",18361,"2013/102","Globicephala melas","pilot whale",53.7,-6.24,"Co. Meath",2013,"20/06/2013"
"15739",18362,"2013/103","Phocoena phocoena","harbour porpoise",52.16,-7.13,"Co. Waterford",2013,"20/06/2013"
"15740",18363,"SW2013/350","Phocoena phocoena","Harbour porpoise",54.22666667,-4.6869444,"Isle of Man",2013,"21/06/2013"
"15741",18365,"2013/101","Phocoena phocoena","harbour porpoise",53.3,-6.13,"Co. Dublin",2013,"21/06/2013"
"15742",18366,"2013/108","Lagenorhynchus acutus","Atlantic white-sided dolphin",54.9,-8.38,"Co. Donegal",2013,"21/06/2013"
"15743",18367,"SW2013/356","Phocoena phocoena","Harbour porpoise",52.78583333,-4.1286111,"Gwynedd",2013,"22/06/2013"
"15744",18368,"SW2013/344","Globicephala melas","Long-finned pilot whale",59.89888889,-1.3316667,"Shetland",2013,"22/06/2013"
"15745",18369,"SW2013/357","Phocoena phocoena","Harbour porpoise",52.49777778,-4.0541667,"Ceredigion",2013,"24/06/2013"
"15746",18370,"SW2013/358","Phocoena phocoena","Harbour porpoise",52.13638889,-4.5169444,"Ceredigion",2013,"24/06/2013"
"15747",18371,"SW2013/627","Phocoena phocoena","Harbour porpoise",51.293148,-3.013859,"Somerset",2013,"24/06/2013"
"15748",18373,"2013/107","Ziphius cavirostris","Cuvier's beaked whale",54.3,-9.37,"Co. Mayo",2013,"24/06/2013"
"15749",18374,"2013/110","Balaenoptera acutorostrata","minke whale",51.93,-7.81,"Co. Cork",2013,"24/06/2013"
"15750",18375,"SW2013/359","Phocoena phocoena","Harbour porpoise",52.72861111,-4.0680556,"Gwynedd",2013,"25/06/2013"
"15751",18376,"SW2013/360","Phocoena phocoena","Harbour porpoise",51.78222222,-5.1061111,"Pembrokeshire",2013,"25/06/2013"
"15752",18377,"SW2013/343","Phocoena phocoena","Harbour porpoise",55.52805556,-4.7336111,"South Ayreshire",2013,"26/06/2013"
"15753",18378,"SW2013/361","Phocoena phocoena","Harbour porpoise",52.53083333,-4.0572222,"Ceredigion",2013,"26/06/2013"
"15754",18379,"SW2013/346","Grampus griseus","Risso's dolphin",57.91611111,-6.5763889,"Western Isles",2013,"27/06/2013"
"15755",18380,"SW2013/347","Phocoena phocoena","Harbour porpoise",57.91611111,-6.5761111,"Western Isles",2013,"27/06/2013"
"15756",18381,"2013/111","Phocoena phocoena","harbour porpoise",52.23,-6.32,"Co. Wexford",2013,"27/06/2013"
"15757",18382,"SW2013/427","Lagenorhynchus albirostris","White-beaked dolphin",52.97611111,0.7994444,"Norfolk",2013,"28/06/2013"
"15758",18383,"SW2013/362","Phocoena phocoena","Harbour porpoise",51.72027778,-4.375,"Carmarthenshire",2013,"28/06/2013"
"15759",18384,"SW2013/363","Phocoena phocoena","Harbour porpoise",52.25055556,-4.2419444,"Ceredigion",2013,"28/06/2013"
"15760",18385,"SW2013/364","Phocoena phocoena","Harbour porpoise",52.51194444,-4.0577778,"Ceredigion",2013,"30/06/2013"
"15761",18386,"SW2013/365","Phocoena phocoena","Harbour porpoise",52.485,-4.0536111,"Ceredigion",2013,"30/06/2013"
"15762",18388,"SW2013/348","Phocoena phocoena","Harbour porpoise",50.80527778,-0.4041667,"West Sussex",2013,"02/07/2013"
"15763",18389,"SW2013/408","Phocoena phocoena","Harbour porpoise",52.716067,1.700048,"Norfolk",2013,"02/07/2013"
"15764",18391,"SW2013/367","Phocoena phocoena","Harbour porpoise",52.52444444,-4.0597222,"Ceredigion",2013,"02/07/2013"
"15765",18392,"SW2013/368","Phocoena phocoena","Harbour porpoise",51.46277778,-3.6416667,"Vale of Glamorgan",2013,"02/07/2013"
"15766",18393,"SW2013/369","Phocoena phocoena","Harbour porpoise",52.43416667,-4.0805556,"Ceredigion",2013,"02/07/2013"
"15767",18394,"SW2013/339","Phocoena phocoena","Harbour porpoise",51.171967,-4.213986,"Devon",2013,"02/07/2013"
