"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"4169","SW2011/557","Delphinus delphis","Short-beaked common dolphin",58.57777778,-4.7663889,"Highland",2011,"04/12/2011"
"4170","SW2011/563","Lagenorhynchus acutus","Atlantic white-sided dolphin",59.94416667,-1.3511111,"Shetland",2011,"06/12/2011"
"4171","SW2011/581","Delphinus delphis","Short-beaked common dolphin",56.93333333,-6.1561111,"Highland",2011,"06/12/2011"
"4172","SW2011/583","Delphinus delphis","Short-beaked common dolphin",59.00527778,-3.1080556,"Orkney",2011,"09/12/2011"
"4173","SW2011/566","Delphinus delphis","Short-beaked common dolphin",59.00833333,-3.0402778,"Orkney",2011,"11/12/2011"
"4174","SW2011/582","Delphinus delphis","Short-beaked common dolphin",55.70055556,-6.2838889,"Argyll and Bute",2011,"14/12/2011"
"4175","SW2011/602","Phocoena phocoena","Harbour porpoise",58.96305556,-2.9763889,"Orkney",2011,"15/12/2011"
"4176","SW2011/576","Phocoena phocoena","Harbour porpoise",58.96222222,-2.9744444,"Orkney",2011,"16/12/2011"
"4177","SW2011/586","Physeter macrocephalus","Sperm whale",58.03388889,-5.4088889,"Highland",2011,"27/12/2011"
"4178","SW2011/596","Phocoena phocoena","Harbour porpoise",55.5825,-1.6469444,"Northumberland",2011,"30/12/2011"
"4179","SW2012/38","Globicephala melas","Long-finned pilot whale",56.41277778,-6.1511111,"Argyll and Bute",2012,"04/01/2012"
"4180","SW2012/6","Phocoena phocoena","Harbour porpoise",57.67666667,-3.1041667,"Moray",2012,"04/01/2012"
"4181","SW2012/27","Globicephala melas","Long-finned pilot whale",58.18722222,-7.0205556,"Western Isles",2012,"05/01/2012"
"4182","SW2012/7","Lagenorhynchus acutus","Atlantic white-sided dolphin",57.50944444,-5.6502778,"Highland",2012,"05/01/2012"
"4183","SW2012/9","Phocoena phocoena","Harbour porpoise",56.35833333,-2.81,"Fife",2012,"05/01/2012"
"4184","SW2012/10","Lagenorhynchus acutus","Atlantic white-sided dolphin",56.20111111,-4.7475,"Argyll and Bute",2012,"05/01/2012"
"4185","SW2012/28","Globicephala melas","Long-finned pilot whale",56.03,-2.6025,"East Lothian",2012,"09/01/2012"
"4186","SW2012/20","Tursiops truncatus","Bottlenose dolphin",56.03972222,-3.5369444,"Fife",2012,"17/01/2012"
"4187","SW2012/53","Globicephala melas","Long-finned pilot whale",56.91722222,-6.1577778,"Highland",2012,"17/01/2012"
"4188","SW2012/32","Globicephala melas","Long-finned pilot whale",57.15611111,-7.4094444,"Western Isles",2012,"28/01/2012"
"4189","SW2012/39","Phocoena phocoena","Harbour porpoise",56.5375,-2.6252778,"Angus",2012,"02/02/2012"
"4190","SW2012/42","Lagenorhynchus albirostris","White-beaked dolphin",57.72027778,-4.0238889,"Highland",2012,"04/02/2012"
"4191","SW2012/43","Phocoena phocoena","Harbour porpoise",56.59083333,-2.5169444,"Angus",2012,"05/02/2012"
"4192","SW2012/44","Phocoena phocoena","Harbour porpoise",56.50833333,-2.675,"Angus",2012,"06/02/2012"
"4193","SW2012/45","Phocoena phocoena","Harbour porpoise",56.77277778,-2.4016667,"Aberdeenshire",2012,"09/02/2012"
"4194","SW2012/54","Phocoena phocoena","Harbour porpoise",56.77277778,-2.4016667,"Aberdeenshire",2012,"15/02/2012"
"4195","SW2012/55","Phocoena phocoena","Harbour porpoise",56.55111111,-2.6025,"Angus",2012,"16/02/2012"
"4196","SW2012/70","Phocoena phocoena","Harbour porpoise",56.06333333,-3.1811111,"Fife",2012,"21/02/2012"
"4197","SW2012/74","Tursiops truncatus","Bottlenose dolphin",57.15611111,-7.4094444,"Western Isles",2012,"24/02/2012"
"4198","SW2012/72","Globicephala melas","Long-finned pilot whale",56.17944444,-5.7436111,"Argyll and Bute",2012,"25/02/2012"
"4199","SW2012/75","Phocoena phocoena","Harbour porpoise",57.44472222,-7.3955556,"Western Isles",2012,"25/02/2012"
"4200","SW2012/71","Phocoena phocoena","Harbour porpoise",56.63861111,-2.5030556,"Angus",2012,"26/02/2012"
"4201","SW2012/76","Phocoena phocoena","Harbour porpoise",56.01722222,-3.6130556,"Falkirk",2012,"28/02/2012"
"4203","SW2012/100","Lagenorhynchus acutus","Atlantic white-sided dolphin",57.20944444,-7.4255556,"Western Isles",2012,"28/02/2012"
"4204","SW2012/101","Grampus griseus","Risso's dolphin",60.66972222,-1.0658333,"Shetland",2012,"04/03/2012"
"4205","SW2012/102","Phocoena phocoena","Harbour porpoise",56.54361111,-2.6172222,"Angus",2012,"05/03/2012"
"4206","SW2012/103","Phocoena phocoena","Harbour porpoise",60.14027778,-1.1222222,"Shetland",2012,"05/03/2012"
"4207","SW2012/104","Delphinus delphis","Short-beaked common dolphin",58.61666667,-3.3505556,"Highland",2012,"07/03/2012"
"4208","SW2012/105","Phocoena phocoena","Harbour porpoise",56.19361111,-2.8661111,"Fife",2012,"09/03/2012"
"4209","SW2012/106","Phocoena phocoena","Harbour porpoise",56.77194444,-2.4033333,"Aberdeenshire",2012,"09/03/2012"
"4210","SW2012/107","Phocoena phocoena","Harbour porpoise",56.77194444,-2.4033333,"Aberdeenshire",2012,"09/03/2012"
"4211","SW2012/109","Phocoena phocoena","Harbour porpoise",57.30083333,-1.9941667,"Aberdeenshire",2012,"13/03/2012"
"4212","SW2012/116","Phocoena phocoena","Harbour porpoise",56.43833333,-5.4672222,"Argyll and Bute",2012,"20/03/2012"
"4213","SW2012/119","Phocoena phocoena","Harbour porpoise",56.04,-2.8513889,"East Lothian",2012,"22/03/2012"
"4214","SW2012/170","Phocoena phocoena","Harbour porpoise",55.99416667,-3.3713889,"West Lothian",2012,"24/03/2012"
"4215","SW2012/172","Phocoena phocoena","Harbour porpoise",56.01638889,-3.6127778,"Falkirk",2012,"26/03/2012"
"4216","SW2012/169","Delphinus delphis","Short-beaked common dolphin",57.67861111,-4.0416667,"Highland",2012,"26/03/2012"
"4217","SW2012/173","Phocoena phocoena","Harbour porpoise",56.05666667,-3.2211111,"Fife",2012,"28/03/2012"
"4218","SW2012/130","Phocoena phocoena","Harbour porpoise",56.05138889,-2.8277778,"East Lothian",2012,"29/03/2012"
"4219","SW2012/132","Grampus griseus","Risso's dolphin",59.06027778,-2.8463889,"Orkney",2012,"30/03/2012"
"4220","SW2012/127","Phocoena phocoena","Harbour porpoise",57.71222222,-3.4252778,"Highland",2012,"31/03/2012"
"4221","SW2012/128","Phocoena phocoena","Harbour porpoise",55.99083333,-3.385,"City of Edinburgh",2012,"01/04/2012"
"4222","SW2012/129","Phocoena phocoena","Harbour porpoise",56.21222222,-2.9383333,"Fife",2012,"02/04/2012"
"4223","SW2012/175","Globicephala melas","Long-finned pilot whale",58.4825,-3.1205556,"Highland",2012,"02/04/2012"
"4224","SW2012/176","Phocoena phocoena","Harbour porpoise",57.15694444,-2.0786111,"City of Aberdeen",2012,"02/04/2012"
"4225","SW2012/167","Balaenoptera acutorostrata","Minke whale",56.06,-2.7186111,"East Lothian",2012,"03/04/2012"
"4226","SW2012/178","Phocoena phocoena","Harbour porpoise",56.55055556,-6.7591667,"Fife",2012,"05/04/2012"
"4227","SW2012/179","Tursiops truncatus","Bottlenose dolphin",56.55055556,-6.7591667,"Argyll and Bute",2012,"05/04/2012"
"4228","SW2012/157","Phocoena phocoena","Harbour porpoise",56.20305556,-2.9763889,"Highland",2012,"09/04/2012"
"4229","SW2012/182","Phocoena phocoena","Harbour porpoise",57.70055556,-3.4936111,"Moray",2012,"13/04/2012"
"4230","SW2012/183","Phocoena phocoena","Harbour porpoise",55.65305556,-5.6694444,"Argyll and Bute",2012,"13/04/2012"
"4231","SW2012/574","Stenella coeruleoalba","Striped dolphin",59.10083333,-3.3502778,"Orkney",2012,"14/04/2012"
"4232","SW2012/184","Phocoena phocoena","Harbour porpoise",57.51166667,-4.3630556,"Highland",2012,"15/04/2012"
"4233","SW2012/185","Phocoena phocoena","Harbour porpoise",57.66361111,-3.6041667,"Moray",2012,"16/04/2012"
"4234","SW2012/186","Phocoena phocoena","Harbour porpoise",56.52916667,-2.6347222,"Angus",2012,"17/04/2012"
"4235","SW2012/187","Phocoena phocoena","Harbour porpoise",56.01638889,-3.6127778,"Falkirk",2012,"25/04/2012"
"4236","SW2012/188","Phocoena phocoena","Harbour porpoise",57.675,-3.0905556,"Moray",2012,"28/04/2012"
"4237","SW2012/189","Phocoena phocoena","Harbour porpoise",57.68472222,-2.7455556,"Moray",2012,"30/04/2012"
"4238","SW2012/190","Phocoena phocoena","Harbour porpoise",56.77111111,-2.4033333,"Aberdeenshire",2012,"01/05/2012"
"4239","SW2012/191","Phocoena phocoena","Harbour porpoise",57.14361111,-2.0719444,"City of Aberdeen",2012,"03/05/2012"
"4240","SW2012/196","Phocoena phocoena","Harbour porpoise",57.68833333,-4.1561111,"Highland",2012,"04/05/2012"
"4241","SW2012/311","Globicephala melas","Long-finned pilot whale",56.49722222,-6.4202778,"Argyll and Bute",2012,"05/05/2012"
"4242","SW2012/202","Grampus griseus","Risso's dolphin",60.58166667,-1.1888889,"Shetland",2012,"10/05/2012"
