"","S.W.No.","Name.Current.Sci","Name.Common","Latitude","Longitude","County","Year","Date"
"9005","SW2012/443","Phocoena phocoena","Harbour porpoise",51.7725,1.0966667,"Essex",2012,"17/10/2012"
"9006","SW2012/444","Phocoena phocoena","Harbour porpoise",50.34722222,-4.6894444,"Cornwall",2012,"17/10/2012"
"9007","SW2012/445","Stenella coeruleoalba","Striped dolphin",50.165,-5.0713889,"Cornwall",2012,"18/10/2012"
"9008","SW2012/451","Phocoena phocoena","Harbour porpoise",51.64138889,-4.8044444,"Pembrokeshire",2012,"23/10/2012"
"9009","SW2012/454","Phocoena phocoena","Harbour porpoise",54.33,-4.3811111,"Isle of Man",2012,"27/10/2012"
"9010","SW2012/456","Phocoena phocoena","Harbour porpoise",49.91333333,-6.2841667,"Cornwall",2012,"27/10/2012"
"9011","SW2012/457","Phocoena phocoena","Harbour porpoise",50.54333333,-4.9830556,"Cornwall",2012,"28/10/2012"
"9012","SW2012/463","Phocoena phocoena","Harbour porpoise",52.63666667,1.74,"Norfolk",2012,"28/10/2012"
"9013","SW2012/459","Balaenoptera physalus","Fin whale",50.59861111,-2.0980556,"Dorset",2012,"28/10/2012"
"9014","SW2012/461","Phocoena phocoena","Harbour porpoise",52.60138889,1.7388889,"Norfolk",2012,"28/10/2012"
"9015","SW2012/458","Phocoena phocoena","Harbour porpoise",50.36055556,-5.1527778,"Cornwall",2012,"30/10/2012"
"9016","SW2012/570","Phocoena phocoena","Harbour porpoise",52.71972222,1.6966667,"Norfolk",2012,"30/10/2012"
"9017","SW2012/465","Phocoena phocoena","Harbour porpoise",50.44638889,-5.0416667,"Cornwall",2012,"01/11/2012"
"9018","SW2012/466","Phocoena phocoena","Harbour porpoise",50.30083333,-5.2358333,"Cornwall",2012,"01/11/2012"
"9019","SW2012/462","Phocoena phocoena","Harbour porpoise",52.73083333,1.6875,"Norfolk",2012,"02/11/2012"
"9020","SW2012/493","Phocoena phocoena","Harbour porpoise",52.75944444,-4.0975,"Gwynedd",2012,"05/11/2012"
"9021","SW2012/467","Delphinus delphis","Short-beaked common dolphin",50.33805556,-4.4513889,"Cornwall",2012,"06/11/2012"
"9022","SW2012/464","Phocoena phocoena","Harbour porpoise",50.73972222,0.2030556,"East Sussex",2012,"07/11/2012"
"9023","SW2012/468","Stenella coeruleoalba","Striped dolphin",50.08083333,-5.3119444,"Cornwall",2012,"09/11/2012"
"9024","SW2012/469","Phocoena phocoena","Harbour porpoise",50.53138889,-5.0230556,"Cornwall",2012,"11/11/2012"
"9025","SW2012/470","Delphinus delphis","Short-beaked common dolphin",50.03388889,-5.2627778,"Cornwall",2012,"12/11/2012"
"9026","SW2012/494","Phocoena phocoena","Harbour porpoise",51.66944444,-4.3,"Carmarthenshire",2012,"13/11/2012"
"9027","SW2012/495","Phocoena phocoena","Harbour porpoise",52.39638889,-4.0922222,"Ceredigion",2012,"13/11/2012"
"9028","SW2012/471","Delphinus delphis","Short-beaked common dolphin",50.35166667,-4.2722222,"Cornwall",2012,"13/11/2012"
"9029","SW2012/472","Phocoena phocoena","Harbour porpoise",49.95972222,-5.2102778,"Cornwall",2012,"14/11/2012"
"9030","SW2012/473","Phocoena phocoena","Harbour porpoise",50.09888889,-5.3788889,"Cornwall",2012,"14/11/2012"
"9031","SW2012/474","Phocoena phocoena","Harbour porpoise",50.12805556,-5.5125,"Cornwall",2012,"14/11/2012"
"9032","SW2012/481","Phocoena phocoena","Harbour porpoise",50.03916667,-5.2658333,"Cornwall",2012,"16/11/2012"
"9033","SW2012/482","Phocoena phocoena","Harbour porpoise",51.37916667,1.2397222,"Kent",2012,"18/11/2012"
"9034","SW2012/483","Delphinus delphis","Short-beaked common dolphin",53.871268,-3.04785,"Blackpool",2012,"18/11/2012"
"9035","SW2012/501","Delphinus delphis","Short-beaked common dolphin",50.33805556,-4.4977778,"Cornwall",2012,"22/11/2012"
