,Name.Current.Sci,Name.Common,Latitude,Longitude,County,Year,Date
80,Delphinus delphis,Common dolphin,52.1808,-6.3539,"Wexford, EIRE",1914,18/02/1914
81,NA,NA,50.71618511,-1.87250326,Hampshire,1914,22/02/1914
82,Balaenoptera physalus,Fin whale,51.7694,-10.1017,"Kerry, EIRE",1914,28/02/1914
83,Unknown balaenoptera,Unknown balaenopterid,50.68413684,-3.094322106,Devon,1914,02/03/1914
84,Globicephala melas,Long-finned pilot whale,55.53887774,-1.6386808,Northumberland,1914,03/03/1914
85,Hyperoodon ampullatus,Bottlenose whale,55.13580372,-1.505850219,Northumberland,1914,11/03/1914
86,Phocoena phocoena,Harbour porpoise,53.571,-6.0906,"Dublin, EIRE",1914,27/03/1914
87,Unknown odontocete,Unknown odontocete,52.6921,-9.5743,"Clare, EIRE",1914,29/03/1914
88,Unknown odontocete,Unknown odontocete,52.67378882,1.72359339,Norfolk,1914,01/04/1914
89,Delphinus delphis,Common dolphin,57.47465806,-4.289866843,"Inverness, Scotland",1914,12/04/1914
90,Phocoena phocoena,Harbour porpoise,51.5495619,0.846042838,Essex,1914,21/04/1914
91,Phocoena phocoena,Harbour porpoise,53.34364192,0.268462387,Lincolnshire,1914,27/04/1914
92,Phocoena phocoena,Harbour porpoise,51.39630333,0.932856414,Kent,1914,01/05/1914
93,Hyperoodon ampullatus,Bottlenose whale,57.59847053,-3.982980949,"Nairn, Scotland",1914,01/05/1914
94,Phocoena phocoena,Harbour porpoise,52.78691229,1.61455665,Norfolk,1914,02/05/1914
95,Phocoena phocoena,Harbour porpoise,52.78691229,1.61455665,Norfolk,1914,07/06/1914
96,Unknown odontocete,Unknown odontocete,55.2948,-7.418,"Donegal, EIRE",1914,11/06/1914
97,Lagenorhynchus albirostris,White-beaked dolphin,54.61628407,-1.047550172,Yorkshire,1914,11/06/1914
98,Unknown odontocete,Unknown odontocete,50.58599838,-2.416753212,Dorset,1914,13/06/1914
99,Phocoena phocoena,Harbour porpoise,51.3060052,1.379176385,Kent,1914,14/06/1914
100,Phocoena phocoena,Harbour porpoise,51.22156347,1.405933318,Kent,1914,15/06/1914
101,Unknown odontocete,Unknown odontocete,52.82606959,1.539102051,Norfolk,1914,16/06/1914
102,Unknown odontocete,Unknown odontocete,50.71349453,-1.879593308,Hampshire,1914,20/06/1914
103,Lagenorhynchus albirostris,White-beaked dolphin,57.41178866,-1.835190794,"Aberdeen, Scotland",1914,22/06/1914
104,Phocoena phocoena,Harbour porpoise,53.14503612,0.355191236,Lincolnshire,1914,03/07/1914
105,Tursiops truncatus,Bottlenose dolphin,50.78125479,0.034350989,Sussex,1914,NA
106,Phocoena phocoena,Harbour porpoise,53.14503612,0.355191236,Lincolnshire,1914,11/07/1914
107,Phocoena phocoena,Harbour porpoise,52.78036033,1.622914114,Norfolk,1914,12/07/1914
108,Lagenorhynchus albirostris,White-beaked dolphin,58.47607032,-3.109485418,"Caithness, Scotland",1914,13/07/1914
109,Tursiops truncatus,Bottlenose dolphin,50.7863512,-0.621232633,Sussex,1914,17/07/1914
110,Phocoena phocoena,Harbour porpoise,53.3457,-6.2292,"Dublin, EIRE",1914,24/07/1914
111,Unknown odontocete,Unknown odontocete,53.30812209,0.292099847,Lincolnshire,1914,24/07/1914
112,Unknown odontocete,Unknown odontocete,55.1159815,-1.493551193,Northumberland,1914,22/07/1914
113,Phocoena phocoena,Harbour porpoise,53.08978535,0.329766906,Lincolnshire,1914,25/07/1914
114,Tursiops truncatus,Bottlenose dolphin,51.93225498,1.279091882,Essex,1914,26/07/1914
115,Lagenorhynchus albirostris,White-beaked dolphin,55.32922604,-1.558619481,Northumberland.,1914,04/09/1914
116,Hyperoodon ampullatus,Bottlenose whale,52.78499156,0.37277381,Norfolk,1914,05/09/1914
117,Hyperoodon ampullatus,Bottlenose whale,54.86900904,-3.683096423,"Kirkcudbrightshire, Scotland",1914,15/09/1914
118,Mesoplodon bidens,Sowerby's Beaked whale,52.2766,-6.3756,"Wexford, EIRE",1914,21/09/1914
119,Balaenoptera borealis,Sei whale,58.60833078,-3.671429589,"Caithness, Scotland",1914,21/09/1914
120,Balaenoptera physalus,Fin whale,51.36929215,1.273171762,Kent,1914,18/10/1914
121,Phocoena phocoena,Harbour porpoise,50.91203364,0.98055249,Kent,1914,19/10/1914
122,Unknown odontocete,Unknown odontocete,52.64631563,1.739004265,Norfolk,1914,30/10/1914
123,Unknown odontocete,Unknown odontocete,52.82606959,1.539102051,Norfolk,1914,31/10/1914
124,Balaenoptera physalus,Fin whale,58.64474835,-3.025227303,"Caithness, Scotland",1914,17/11/1914
125,Hyperoodon ampullatus,Bottlenose whale,51.18185213,-3.397975725,Somerset,1914,23/11/1914
126,Phocoena phocoena,Harbour porpoise,50.91583554,0.901103826,Kent,1914,25/11/1914
127,Delphinus delphis,Common dolphin,56.79334001,-2.333998392,"Kincardineshire, Scotland",1914,04/12/1914
128,Phocoena phocoena,Harbour porpoise,50.81116909,0.356505279,Sussex,1914,14/12/1914
129,Tursiops truncatus,Bottlenose dolphin,49.89435271,-6.350646935,Cornwall,1915,27/02/1915
130,Ziphius cavirostris,Cuvier's Beaked whale,58.59853718,-3.5195089,"Caithness, Scotland",1915,14/03/1915
131,Unknown odontocete,Unknown odontocete,53.14503612,0.355191236,Lincolnshire,1915,30/03/1915
132,Globicephala melas,Long-finned pilot whale,51.6157,-9.5413,"Cork, EIRE",1915,16/03/1915
133,Unknown odontocete,Unknown odontocete,53.30812209,0.292099847,Lincolnshire,1915,24/04/1915
134,Phocoena phocoena,Harbour porpoise,53.09175688,0.320911026,Lincolnshire,1915,03/05/1915
135,Balaenoptera physalus,Fin whale,55.34910612,-1.589941574,Northumberland,1915,12/05/1915
136,Phocoena phocoena,Harbour porpoise,53.99541628,-0.204344963,Yorkshire,1915,23/05/1915
137,Phocoena phocoena,Harbour porpoise,52.82606959,1.539102051,Norfolk,1915,19/06/1915
138,Phocoena phocoena,Harbour porpoise,51.54876859,0.841665084,Essex,1915,27/06/1915
139,Phocoena phocoena,Harbour porpoise,56.55524013,-2.579197733,"Angus, Scotland",1915,07/07/1915
140,Ziphius cavirostris,Cuvier's Beaked whale,52.1937,-6.8348,"Wexford, EIRE",1915,18/07/1915
