,Year,Species,Total_events
422,1959,Lagenorhynchus acutus,1
423,1959,Lagenorhynchus albirostris,1
424,1959,Mesoplodon bidens,1
425,1959,Phocoena phocoena,13
426,1959,Tursiops truncatus,4
427,1960,Balaenoptera acutorostrata,1
428,1960,Delphinus delphis,1
429,1960,Globicephala melas,4
430,1960,Grampus griseus,3
431,1960,Hyperoodon ampullatus,1
432,1960,Lagenorhynchus albirostris,2
433,1960,Phocoena phocoena,17
434,1960,Tursiops truncatus,4
435,1961,Balaenoptera acutorostrata,1
436,1961,Delphinus delphis,1
437,1961,Globicephala melas,5
438,1961,Lagenorhynchus albirostris,1
439,1961,Mesoplodon bidens,3
440,1961,Orcinus orca,1
441,1961,Phocoena phocoena,8
442,1961,Tursiops truncatus,6
443,1961,Ziphius cavirostris,1
444,1962,Balaenoptera acutorostrata,2
445,1962,Balaenoptera physalus,1
446,1962,Delphinus delphis,3
447,1962,Globicephala melas,1
448,1962,Hyperoodon ampullatus,1
449,1962,Phocoena phocoena,5
450,1962,Tursiops truncatus,1
451,1962,Ziphius cavirostris,1
452,1963,Balaenoptera acutorostrata,2
453,1963,Delphinus delphis,2
454,1963,Globicephala melas,6
455,1963,Grampus griseus,1
456,1963,Orcinus orca,3
457,1963,Phocoena phocoena,16
458,1963,Physeter macrocephalus,1
459,1963,Tursiops truncatus,9
460,1963,Ziphius cavirostris,3
461,1964,Balaenoptera acutorostrata,1
462,1964,Globicephala melas,2
463,1964,Grampus griseus,3
464,1964,Hyperoodon ampullatus,1
465,1964,Lagenorhynchus acutus,1
466,1964,Lagenorhynchus albirostris,4
467,1964,Phocoena phocoena,16
468,1964,Tursiops truncatus,4
469,1964,Ziphius cavirostris,3
470,1965,Balaenoptera acutorostrata,2
471,1965,Balaenoptera borealis,1
472,1965,Globicephala melas,2
473,1965,Hyperoodon ampullatus,3
474,1965,Lagenorhynchus albirostris,5
475,1965,Orcinus orca,2
476,1965,Phocoena phocoena,13
477,1965,Tursiops truncatus,9
478,1966,Balaenoptera acutorostrata,2
479,1966,Delphinus delphis,1
480,1966,Globicephala melas,4
481,1966,Hyperoodon ampullatus,1
482,1966,Kogia breviceps,1
483,1966,Lagenorhynchus acutus,2
484,1966,Lagenorhynchus albirostris,2
485,1966,Orcinus orca,3
486,1966,Phocoena phocoena,15
487,1966,Physeter macrocephalus,1
488,1966,Tursiops truncatus,2
489,1966,Ziphius cavirostris,1
490,1967,Balaenoptera acutorostrata,1
491,1967,Delphinus delphis,2
492,1967,Globicephala melas,2
493,1967,Grampus griseus,1
494,1967,Hyperoodon ampullatus,1
495,1967,Lagenorhynchus acutus,6
496,1967,Lagenorhynchus albirostris,1
497,1967,Mesoplodon bidens,2
498,1967,Mesoplodon mirus,1
499,1967,Phocoena phocoena,10
500,1967,Physeter macrocephalus,3
501,1967,Tursiops truncatus,5
502,1967,Ziphius cavirostris,3
503,1968,Balaenoptera acutorostrata,1
504,1968,Balaenoptera physalus,1
505,1968,Delphinus delphis,2
506,1968,Globicephala melas,3
507,1968,Hyperoodon ampullatus,1
508,1968,Lagenorhynchus acutus,3
509,1968,Lagenorhynchus albirostris,2
510,1968,Mesoplodon bidens,2
511,1968,Orcinus orca,3
512,1968,Phocoena phocoena,8
513,1968,Physeter macrocephalus,1
514,1968,Tursiops truncatus,2
515,1969,Balaenoptera acutorostrata,5
516,1969,Delphinus delphis,3
517,1969,Globicephala melas,3
518,1969,Grampus griseus,1
519,1969,Hyperoodon ampullatus,2
520,1969,Lagenorhynchus acutus,1
521,1969,Lagenorhynchus albirostris,1
522,1969,Orcinus orca,1
523,1969,Phocoena phocoena,5
524,1969,Tursiops truncatus,1
525,1969,Ziphius cavirostris,3
526,1970,Balaenoptera acutorostrata,2
527,1970,Delphinus delphis,5
528,1970,Globicephala melas,3
529,1970,Grampus griseus,3
530,1970,Hyperoodon ampullatus,2
531,1970,Lagenorhynchus acutus,1
532,1970,Lagenorhynchus albirostris,6
533,1970,Phocoena phocoena,11
534,1970,Tursiops truncatus,3
535,1970,Ziphius cavirostris,2
536,1971,Balaenoptera acutorostrata,4
537,1971,Balaenoptera borealis,1
538,1971,Balaenoptera physalus,2
539,1971,Delphinus delphis,2
540,1971,Globicephala melas,4
541,1971,Grampus griseus,1
542,1971,Hyperoodon ampullatus,1
543,1971,Orcinus orca,1
544,1971,Phocoena phocoena,6
545,1971,Tursiops truncatus,1
546,1972,Balaenoptera acutorostrata,3
547,1972,Delphinus delphis,4
548,1972,Globicephala melas,1
549,1972,Hyperoodon ampullatus,3
550,1972,Lagenorhynchus albirostris,5
551,1972,Mesoplodon bidens,2
552,1972,Mesoplodon mirus,1
553,1972,Orcinus orca,1
554,1972,Phocoena phocoena,5
555,1972,Physeter macrocephalus,1
556,1972,Tursiops truncatus,2
557,1973,Balaenoptera acutorostrata,4
558,1973,Delphinus delphis,6
559,1973,Globicephala melas,7
560,1973,Grampus griseus,2
561,1973,Hyperoodon ampullatus,1
562,1973,Lagenorhynchus acutus,2
563,1973,Orcinus orca,2
564,1973,Phocoena phocoena,9
565,1973,Physeter macrocephalus,2
566,1973,Tursiops truncatus,4
567,1973,Ziphius cavirostris,1
568,1974,Balaenoptera acutorostrata,1
569,1974,Delphinus delphis,5
570,1974,Globicephala melas,15
571,1974,Lagenorhynchus acutus,3
572,1974,Lagenorhynchus albirostris,4
573,1974,Phocoena phocoena,17
574,1974,Physeter macrocephalus,4
575,1974,Tursiops truncatus,3
576,1975,Balaenoptera acutorostrata,2
577,1975,Balaenoptera borealis,1
578,1975,Delphinus delphis,4
579,1975,Globicephala melas,7
580,1975,Grampus griseus,1
581,1975,Hyperoodon ampullatus,3
582,1975,Mesoplodon bidens,1
583,1975,Orcinus orca,1
584,1975,Phocoena phocoena,13
585,1975,Physeter macrocephalus,3
586,1975,Stenella coeruleoalba,1
587,1976,Balaenoptera acutorostrata,3
588,1976,Delphinus delphis,11
589,1976,Globicephala melas,7
590,1976,Grampus griseus,1
591,1976,Hyperoodon ampullatus,2
592,1976,Lagenorhynchus acutus,2
593,1976,Lagenorhynchus albirostris,6
594,1976,Orcinus orca,1
595,1976,Phocoena phocoena,17
596,1976,Pseudorca crassidens,1
597,1976,Tursiops truncatus,6
598,1977,Balaenoptera acutorostrata,3
599,1977,Delphinus delphis,11
600,1977,Globicephala melas,4
601,1977,Grampus griseus,1
602,1977,Lagenorhynchus acutus,1
603,1977,Lagenorhynchus albirostris,3
604,1977,Mesoplodon bidens,2
605,1977,Orcinus orca,1
606,1977,Phocoena phocoena,6
607,1977,Physeter macrocephalus,4
608,1977,Tursiops truncatus,5
609,1978,Balaenoptera acutorostrata,2
610,1978,Delphinus delphis,5
611,1978,Globicephala melas,12
612,1978,Grampus griseus,6
613,1978,Hyperoodon ampullatus,2
614,1978,Lagenorhynchus acutus,4
615,1978,Lagenorhynchus albirostris,2
616,1978,Mesoplodon bidens,4
617,1978,Orcinus orca,5
618,1978,Phocoena phocoena,11
619,1978,Physeter macrocephalus,1
620,1978,Stenella coeruleoalba,1
621,1978,Tursiops truncatus,3
622,1978,Ziphius cavirostris,2
623,1979,Balaenoptera acutorostrata,2
624,1979,Delphinus delphis,5
625,1979,Globicephala melas,15
626,1979,Grampus griseus,2
627,1979,Lagenorhynchus acutus,2
628,1979,Lagenorhynchus albirostris,3
629,1979,Phocoena phocoena,12
630,1979,Physeter macrocephalus,3
631,1979,Tursiops truncatus,7
632,1980,Balaenoptera acutorostrata,3
633,1980,Balaenoptera borealis,1
634,1980,Delphinus delphis,8
